iteration,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7
49114,0.01611098239442299,0.014524478519866213,0.013720397778456628,0.014457464785667895,0.0135655823580203,0.015218529808188386,0.014150132788182113,0.015522779990784719
49116,0.012416763735990044,0.01110718974275593,0.009307052849117703,0.011478381909533708,0.011530517790730388,0.010618058928042962,0.011707496084550295,0.01195062126930524
49118,0.013162138737218498,0.013150747012058928,0.011849129141728254,0.012197464467193164,0.011238312275388351,0.012854635818314364,0.013664410865282584,0.013769720868330504
49120,0.013979240256030645,0.015399691150842776,0.01009556965200975,0.01232417791196655,0.01357435181791189,0.012152719063412087,0.01450613969063852,0.013372637057147196
49122,0.014018575887150497,0.01223177540942566,0.011922759189730847,0.014388736281896686,0.013220898359202204,0.01209474375718772,0.015554052472715407,0.014964563885542292
49124,0.01844193653141013,0.015434586184449872,0.012652869971790048,0.015334573302104249,0.015821778287566923,0.01379500102597625,0.017481647674376433,0.016838546311110036
49126,0.012191813733029244,0.01053655937275405,0.008922776635516494,0.011002106707973747,0.010163629299995647,0.009836771030611369,0.01107359356951193,0.011381213405101731
49128,0.011054410322081987,0.01021597510408695,0.00888720344621513,0.011460203735751628,0.010142488512457304,0.010344886035995593,0.009912509601189834,0.010977251921935383
49130,0.013012647822714607,0.011972412265416621,0.010789683618178891,0.01206281536408943,0.011538257126106954,0.010538520373473192,0.013164152671280016,0.012824498186943478
49132,0.013732957304495808,0.010211841218680462,0.010063581479917483,0.012412325764898924,0.01069708583526513,0.010826041867133762,0.01311035773543795,0.013408970661633879
49134,0.010488342942246653,0.009204193641105585,0.008003402276313187,0.009087860024522776,0.00968120310572701,0.009389800825149175,0.010473017677190777,0.010431954464359627
49136,0.018800315282243796,0.013732278028326883,0.015858990744320955,0.01641317789600194,0.016781691646948538,0.017084712166459903,0.018337739528112573,0.01721986500464201
49138,0.01248474212925782,0.012311623758254564,0.009885061568240872,0.012451507898124048,0.012097693726056902,0.011263576152538646,0.014415215074612187,0.012868006365071238
49140,0.01487748736208605,0.013167921090719625,0.010880507386337668,0.013106157432216714,0.01283222128748479,0.013813135273667287,0.014815087581085074,0.01414327913782204
49142,0.01951991092156735,0.019072366809141705,0.019365304397842786,0.019090538198756946,0.01736297550366217,0.01957417781250914,0.02034941596153672,0.019663642152850436
49144,0.020745354814607708,0.018407830473393894,0.017796623665433664,0.019219372520915323,0.016755306303656292,0.01701509422435543,0.020033779936100338,0.021332811136931307
49146,0.00937546367400005,0.009084044876887853,0.00832121869037522,0.00937207764742376,0.0077873307096612,0.008828780214615917,0.009758517057927074,0.009794074983227041
49148,0.010672224140604536,0.010678069990223416,0.008141121345282054,0.010046593753033906,0.00882944809249242,0.009053362540512921,0.010587046590139482,0.009903718353299562
49150,0.011115736167090218,0.009422443354772325,0.008839940028861959,0.009584861407375966,0.009800797790378235,0.009319693297016096,0.009678789937806409,0.010046120292614091
49152,0.011925297567239035,0.010602453494357178,0.008626931654964531,0.010576286045783923,0.008380297535544534,0.009643142121096071,0.011125111010390543,0.011464366001343651
49154,0.01183479134553439,0.011996917607078272,0.009649429424835043,0.012205429386800193,0.0107708516034144,0.011750534615473152,0.01292150384830748,0.013192606961497155
49156,0.010153550146745127,0.00963739518781126,0.007494188542204405,0.01005950993185345,0.009620462822781173,0.009041016009850245,0.009689903855360171,0.010165902343400868
