iteration,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7
155000,0.0012326841466215321,0.0014261141924227921,0.0019145452162947496,0.0019900758006859004,0.0012234043552439289,0.0015619919904442114,0.0017613729922355686,0.0011417832188068133
155002,0.0006777002676364476,0.0016246518690421485,0.0016225161636800878,0.0024269114866482533,0.0011029336700790898,0.002863619815736254,0.0027837305529488376,0.0027127650625846794
155004,0.0016560575919839643,0.0021991578976232745,0.0014819201278357813,0.0020279758232020217,0.001054112632362672,0.0016587043635847426,0.00268962430073795,0.0010249403975382543
155006,0.0006314871285519885,0.0013957432577998419,0.0012729951255698868,0.0018983310003953258,0.0013109755639923032,0.0013580977936026445,0.0024014679277811896,0.0015015801344584606
155008,0.0009200109580526222,0.0011561386957044256,0.001282348715010928,0.0013736854906470364,0.0015551849790265138,0.002420432000561204,0.002988596126467735,0.0019161530794615939
155010,0.0010956409272194906,0.0017803428689070616,0.0012040865554869967,0.001873921247945498,0.0010023172602737773,0.0015462164610688944,0.0014211238065584691,0.0013375546461963511
155012,0.0015873486189878078,0.0026263406085149654,0.0012500438430047695,0.0018588644572031243,0.003551729645260515,0.0018708504394078368,0.0022534203183238177,0.001996017729589697
155014,0.0012206909261847643,0.0015134870187536592,0.002154314292230952,0.004525363603289867,0.0017179837115442048,0.0022115165888819815,0.0029651669862473945,0.001419139588068108
155016,0.0010973728673657895,0.0010834053094015972,0.0011393266357852122,0.0015311369606047093,0.00189682603303222,0.0028587820240071893,0.0018472685840398434,0.001616260050596452
155018,0.0011878000209959577,0.001248929024555423,0.0016564893755710713,0.0017111952460030638,0.0016307186856413664,0.0020044458432227352,0.0016887279719203369,0.001876331942876286
155020,0.0009792812904575593,0.00237177138383228,0.002161427010928932,0.0021283076902536835,0.0014418235192221879,0.0019482692135937146,0.0034515546035066708,0.0009594195275056429
155022,0.0009537327247486488,0.0011628414916465962,0.001735304162149856,0.0014851597558598328,0.0008984968744698563,0.0012192060419027317,0.002390370358703056,0.0008436867244389218
