iteration,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7
49114,0.005836510982604182,0.005678586124596485,0.0049928980797284694,0.0048239387587409865,0.005181728507968109,0.005045280777494554,0.004911991329953347,0.0051006693934576575
49116,0.005112065093639595,0.0047779128954241745,0.004081798205041176,0.004014383624957818,0.0044252372461444645,0.004060991743082776,0.004284662915367277,0.004193179170007222
49118,0.004942794735731726,0.004524660938792557,0.004328578675335315,0.004003351559861423,0.004557440334806984,0.003937462046578466,0.0040708858436211415,0.004121873295375389
49120,0.005822919519184788,0.005580163152490991,0.004515165789174214,0.00439330308221525,0.0051475749924565495,0.004649450489310425,0.00463189528647967,0.004668820538435092
49122,0.00694610022770803,0.006338751787851926,0.006065171785831824,0.005527501420425018,0.006673605218892542,0.005797880732322236,0.00586043169984235,0.006219542364008179
49124,0.005401084723673011,0.005479882283466964,0.004702947856889461,0.004464207888568217,0.005103215338700728,0.004817711382292755,0.004752322793977193,0.0048729403380836644
49126,0.0046329409275971956,0.00411592201534644,0.003980325105289673,0.0036805563923023588,0.00405921050746999,0.003857440543941229,0.003710016017207232,0.0037770416892471403
49128,0.0039176474453710974,0.0037732059604411866,0.003252663502540179,0.0033823753878537005,0.0038342024576230177,0.0035413292608135194,0.0034110770957379716,0.003475623806243458
49130,0.0051736824792661396,0.004609049516353159,0.004380319775126651,0.00416306997988608,0.00469621089052219,0.0042849779722333725,0.00439760844033904,0.004278602033989165
49132,0.004254334342423727,0.0037644422406590966,0.0036303474549393006,0.003378505283415781,0.003817047588192138,0.0036289703140403168,0.0036323054376206088,0.0036631836440579324
49134,0.003639128150345075,0.003517499832767834,0.003152008922458427,0.0029256447537385905,0.003300703274469685,0.0029975742415602746,0.0029603843894756565,0.003069993727876863
49136,0.007018496347342362,0.005948836504372557,0.005884792270976824,0.005425013196182216,0.006261144427888221,0.005844262677057677,0.0058998039268978175,0.005628379420231033
49138,0.004891163914930496,0.004424244057503801,0.00410602104484159,0.004058408319489226,0.004569650794433722,0.003908854411883489,0.004062657494852184,0.004034923782525512
49140,0.005548386530316529,0.005156685679455819,0.004454687901207288,0.004366161251457612,0.004972467054309426,0.004674485361679581,0.004567886163906687,0.004930345260220292
49142,0.0063309525863752825,0.006226763505368105,0.005546965885097288,0.005368673125661028,0.006026573962856441,0.005573084816599183,0.005541713297962048,0.005467875259073163
49144,0.009632429450161573,0.009408409390538941,0.008528220883094129,0.008120642648350662,0.008810178005376423,0.008749998835862138,0.008758917731623017,0.008540731445592975
49146,0.0033653598684792035,0.003369606914536638,0.0030695412957735257,0.002935955613360408,0.003157895421434853,0.0031204975158551918,0.0030190356655543926,0.002965437600357612
49148,0.004309817980073183,0.004042983783439036,0.0036722630924562183,0.0036022612962569728,0.003828947672329122,0.003895805223730911,0.0035798253382784417,0.003702918131890401
49150,0.003754495711794148,0.003276855813229687,0.003235331544815312,0.002981308932938964,0.00338770636144016,0.0032676877986337893,0.0029864927470346775,0.00312981818828334
49152,0.004041013260387638,0.004069138559730456,0.003625772656561513,0.0035699127029099054,0.003743952341902626,0.0036298509718150213,0.003553264814882842,0.003711171064042562
49154,0.004995959394942295,0.004733733533221818,0.004216702107904313,0.004261065688819843,0.0043349348253021724,0.004394245378232464,0.003925772500853242,0.004450368602310073
49156,0.003495211770844789,0.0032776704783839122,0.0030405687132977754,0.0027073217953064305,0.0031809622193960246,0.0029369286246527793,0.0029988279110389066,0.0029580830794385116
49158,0.004157488708239621,0.003815851326617603,0.0032059237389886613,0.003225181300018143,0.003633574524588623,0.0033946353494868214,0.003286037098068975,0.0035849558794976005
49160,0.004796812565628417,0.004173356155521335,0.003915827065005539,0.0036951626016384354,0.004161586593795841,0.003887842725114332,0.003709846292665589,0.004001032541550709
49162,0.003969027352141774,0.003787692959681191,0.003566936074506588,0.003348092801469582,0.003479980281417605,0.0034477759164999733,0.0034637743171035545,0.0034807072852399146
49164,0.0050374873825111965,0.004625183074798367,0.0042970837459188616,0.003970459115234581,0.0046107229200314515,0.004021191762857479,0.004043716220437921,0.004276497914990074
49114,0.004656354154608522,0.004490250279687302,0.004043919002561014,0.0039183693731526525,0.004335453840493608,0.004147055145754308,0.003982610844511181,0.004213221315845728
49116,0.004023379562563045,0.0038971311607639003,0.003470488737953359,0.003296771960761849,0.003642932005143429,0.003583901377135837,0.0033907057399634177,0.0034108103559087888
49118,0.004806476289304307,0.004530390096540993,0.004100758697940743,0.0038468020266131525,0.004398243851810868,0.0039978586499958,0.004097050451862039,0.004051927272109346
49120,0.007894131673913451,0.0075228973627370355,0.0069037363559454334,0.006413907063800517,0.0071997573943605175,0.006653627131252338,0.006697711381349558,0.006751857829481234
49122,0.005547803821797592,0.005089238572399124,0.0049693026502986015,0.004617072271237754,0.005148592833288612,0.004826626908410125,0.004520306838833366,0.00504025448003298
49124,0.004732031801603975,0.004330117022286972,0.003894164276354639,0.003841388070131138,0.004274752834274642,0.004188179474946319,0.003795000569199125,0.004164218031024236
49126,0.005573678863546816,0.005545172580296631,0.004818949501761205,0.004607256053932085,0.005265457092807679,0.005000001514731345,0.005018330035524932,0.005031166951141586
49128,0.006112599397400942,0.005570589942698101,0.005029385091097405,0.005241035573470221,0.005657986191965003,0.00512181507776216,0.004914968197788916,0.005372050675793771
