iteration,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7
155000,0.004798351460522099,0.00916340826369183,0.00630948337582643,0.008877033072980878,0.007818817768248165,0.007047534616476447,0.009853752086883327,0.006468975476146888
155002,0.00590600907764216,0.011054772234460553,0.005950107706044483,0.01062368872451197,0.007819195930178546,0.010092954178646585,0.008339166968627021,0.008309220447502652
155004,0.005627186659850958,0.008273856411108227,0.006864042544123317,0.009343582540095818,0.006796515146883009,0.008308844198717802,0.00931696890778344,0.006229077789833504
155006,0.0038068851109913787,0.01024359643895778,0.0065933522607002915,0.00786494569567342,0.008474737636727847,0.011107527390590344,0.012329053445797378,0.007994443795602602
155008,0.003633683211129446,0.006502616636630487,0.008179011784704926,0.0073163887097376645,0.015248767612830394,0.007655094570303833,0.010699382314001193,0.010297174190323999
155010,0.0037376455521655055,0.0076452934852935805,0.006150969915915461,0.008485261052731952,0.0069760115074096185,0.007851044351866676,0.009199508025549363,0.0071188554755095
155012,0.005120845739416069,0.015890536044908865,0.013219167914370333,0.008035259957440977,0.009326303105816613,0.008091578015545275,0.016919259524713404,0.011459932552643437
155014,0.0066117262815093,0.007425806121208467,0.006811689023555667,0.013810265004431166,0.012980047020346108,0.011655335997279304,0.011577318224581745,0.013409610834004049
155016,0.003122749147483464,0.006337347197672649,0.006043535199623529,0.010220998636899736,0.011747611133060332,0.007980914308364229,0.010954285761458016,0.007366274004384776
155018,0.006061553915493401,0.005086642978214206,0.006849246988554436,0.011245940291428946,0.009371903096802081,0.008049856806352729,0.006895303631287375,0.007177953186010777
155020,0.00863311111072762,0.010368768899375935,0.011940735415066683,0.012241274844466743,0.011167044368250778,0.01210210460038419,0.016888288775138927,0.008696910210522157
155022,0.006129328853804461,0.008806941801143608,0.007620033859599085,0.00916711306115503,0.007610123959980231,0.009945109915199035,0.010754069526740295,0.006685387867037207
155024,0.0027196162714272637,0.005134257190198055,0.005449689756005738,0.009108078320561541,0.006408591624714133,0.005369015964626023,0.005895901619750399,0.005242528696812521
