iteration,layer_0_head_0,layer_0_head_1,layer_0_head_2,layer_0_head_3,layer_0_head_4,layer_0_head_5,layer_0_head_6,layer_0_head_7,layer_1_head_0,layer_1_head_1,layer_1_head_2,layer_1_head_3,layer_1_head_4,layer_1_head_5,layer_1_head_6,layer_1_head_7,layer_2_head_0,layer_2_head_1,layer_2_head_2,layer_2_head_3,layer_2_head_4,layer_2_head_5,layer_2_head_6,layer_2_head_7,layer_3_head_0,layer_3_head_1,layer_3_head_2,layer_3_head_3,layer_3_head_4,layer_3_head_5,layer_3_head_6,layer_3_head_7
150000,0.0054319218755761,0.006899065767694601,0.005609106459250633,0.005098186352074033,0.0054147017596594335,0.0038320944628375997,0.004254933485724833,0.004187017978522967,0.0054624825182478,0.007870396689871467,0.006099928551272834,0.005241301874406567,0.005314588467138867,0.0037459028253497336,0.0041552163957868675,0.004414410297475966,0.0041959735783358995,0.0056027320627383,0.0048875649368775006,0.0041380468792475335,0.0038179686318352336,0.003379317760788567,0.0034709421591421,0.0034142303353224333,0.0029495167193666666,0.003799591658775367,0.0033000297585633,0.0028670628999949333,0.0025842426395197332,0.0023448378040473333,0.0026690690864122,0.0024900445240004
150002,0.0060875818309736,0.0079840099825194,0.0061707891367486336,0.005425637721442233,0.005752978773186999,0.0037195219686878334,0.004635899162622866,0.005190580921992,0.005303935156756867,0.0067945949443159,0.005433178609757967,0.0046091377611943,0.004501712346500867,0.0031897169380544666,0.0037314490136947007,0.004201162724959066,0.004760311635653866,0.006568004724170667,0.0047514761983572665,0.004308137375788367,0.004615428654240834,0.003102751772752667,0.003879961784433467,0.004334752024193333,0.0028939235065069,0.0038334990285306004,0.0027821351990837003,0.0026262070605346,0.0028733004404695333,0.0019101177208979334,0.0023408262290908668,0.0025581535950675
150004,0.006621957403939533,0.008838914719647,0.005941454354021166,0.0051682644302235995,0.006514859262847301,0.003920569255359434,0.0050077934041258335,0.005031089719802801,0.004966422284621667,0.006369796873300533,0.005235692926523767,0.004277992176186633,0.004906644826013,0.003298180645513267,0.003858833871353166,0.003972951096837933,0.005163101174350433,0.006620703688670766,0.005727816432745967,0.004624137091169667,0.004882724510745267,0.0036079159876566333,0.003941680905336333,0.004214239695698667,0.0031839774335861667,0.003963994443625034,0.0031808894500853333,0.0028408917437643664,0.0030048313678939335,0.0024373231634682666,0.0025623008501231,0.0025595050292963333
150006,0.016458032083289702,0.018369710257496733,0.012040802318494033,0.0109760538187478,0.015026002248857731,0.010011190808285867,0.0118004099712255,0.012228879373384634,0.011243974129529733,0.012463983580670366,0.008725097612184967,0.0074776890942269,0.009741953005750299,0.0067796740554527,0.008363655317726466,0.009466438923449866,0.0105250301119735,0.011855581924300898,0.009556857937988734,0.0070800744900324,0.008843267706396866,0.007306376896103199,0.0079410919794896,0.008513769592229466,0.006212715778325099,0.006754356083810767,0.0057182293745341,0.0044520427711181336,0.005523211040052767,0.0047726862615497,0.005227293062821134,0.005157424477977533
150008,0.0212846345556722,0.02500769815770053,0.014314469826013832,0.013779691636108834,0.017187895867995833,0.008713473123524234,0.013857488940750867,0.014850266122288134,0.009413167679887766,0.011167404933643868,0.007456100691228834,0.006664430116449033,0.007472937462235333,0.005084722204307366,0.006993090559039566,0.0064681055965063,0.0075782532307161,0.009459336591681,0.006219659057278233,0.005972970445438301,0.0059233605677990004,0.0047465503337365995,0.005967656304901166,0.0057755263690328,0.0058557537602581,0.008225827484788435,0.0051692777147365,0.0047606163021104994,0.005485171509078866,0.0038681954079859,0.005094427021393634,0.004978244154360067
150010,0.025659834636970066,0.0298690864928733,0.018420504525305467,0.016572298301307933,0.0226458397635541,0.017746576223853866,0.019032753645493564,0.020925340803696364,0.011116929476093532,0.010829324146438201,0.008121958409578233,0.008534410306607067,0.0079278816610262,0.008615375206141833,0.008622116869417433,0.0080630967854878,0.0071054512726442,0.006809209411966934,0.005667483381510766,0.005853654112902067,0.005237350579978334,0.005380918438472433,0.005477913864075,0.0048686319758360335,0.004760049145705333,0.004913096443077966,0.0038279090092342666,0.0038424825030344335,0.0038955286489003337,0.0037486123194721,0.0036716980580513334,0.0035585763636315332
150012,0.013256364536470567,0.015094123448701735,0.011061615569573332,0.010956951829418665,0.010786849813642899,0.0091646098196972,0.009142301932216733,0.009903476020285667,0.0062896494982906,0.007446062463965233,0.0059205652494001,0.004957922884882033,0.0053271342651631665,0.004081412832330099,0.004851250383200966,0.0050626464261074,0.0046289114544315,0.0047475801120327,0.004311563717532299,0.0039877426088067,0.0036045688611869666,0.003210729457333767,0.0034789692717238662,0.0038045009036606,0.0030640326502848667,0.0033392995608611336,0.0026762250101340333,0.0027534155236417003,0.0027079734973042995,0.0022100213294020334,0.002441374914918,0.0027032680700129
150014,0.015229716013467634,0.020038076903446167,0.010612444180811401,0.011972079151355902,0.015284667317869967,0.0090746662911849,0.013061311353355533,0.012538051554981269,0.005633911073654866,0.006836738005779534,0.005268553887850833,0.005134595111347566,0.0047211743761023,0.003988832551117867,0.004857158615949567,0.0043848807589696994,0.005033840393535667,0.0056397940247521665,0.004580394553174699,0.004797295389462667,0.0039078683323556665,0.0035790844892191667,0.004219140142815533,0.0039217423543302,0.0038762667618010664,0.0046783693189657,0.0035225952678883,0.003379208393923067,0.003095983569822733,0.0027637173678155004,0.0034053232093817338,0.0030454068737934006
150016,0.008610429568957067,0.010886537853994767,0.008606496197226234,0.006751865492181634,0.007485990735381966,0.005280227225905334,0.0063755477607881335,0.006874098664619299,0.005037464313800334,0.0071725120029258,0.005686491101227966,0.0039842516794190335,0.004773323451685533,0.0034875779846870666,0.004207694771537701,0.004152198746007567,0.0042306421603742995,0.0055974672172146335,0.004933642437033733,0.0036732928899507,0.0038409130353486997,0.0030536988379671003,0.003193649652175133,0.0037391268915021336,0.0027893818335171,0.0037644717914587663,0.0032307944986848663,0.0026705833499269666,0.0027477394648822667,0.0019995438846901665,0.0021593969576691,0.002511501864136867
150018,0.007212189381979533,0.010278084343297167,0.007116030284490833,0.0055855355600420995,0.008341602464112833,0.0052048177635377335,0.0060713569060788,0.006124667229041033,0.0043972159156551,0.0057170188606227995,0.004824227489214133,0.0037855564656467337,0.004156391307831967,0.0030474995301635666,0.003801892333996733,0.003566455033518433,0.003750126754311,0.004750558861887366,0.004183253065444967,0.003726585262470367,0.003282923443530967,0.0026937033734129334,0.0032706682733013004,0.003166221137299,0.0025410703859930334,0.0033254498640238332,0.0024568654057818334,0.0023296197270823,0.0025307957659566668,0.0017391221126803332,0.0022779311976325336,0.0022596722079147335
